R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.09	3984.66945027	96576.2225214	97233.957261	98346.9087202	105444.891639	105478.554658	107090.984286	107276.629096	108139.045876	108214.551733	109103.88927	109983.335087	110493.220742	95657.2317664	97544.7816215	98963.5600039	105363.844048	105514.750414	105908.593248	107020.478061	107026.228296	108025.674061	108423.945893	109171.303098	110150.565976	95657.2515191	97544.7574793	98963.5665882	105363.846243	105514.756998	105908.597638	107020.462697	107026.226101	108025.674061	108423.952477	109171.296514	110150.565976	95638.7607815	97232.2124377	98254.3387108	105326.553114	105447.071022	105897.628296	107024.005018	107097.972358	108157.282023	108491.785501	109094.603299	110068.447348
2.08	4129.51831659	96640.4803035	97371.7192915	98473.2053961	105490.623568	105521.867976	107219.387918	107313.805904	108263.005147	108336.597185	109216.729957	110099.922205	110603.939108	95713.8891421	97681.0402508	99098.1374575	105421.113758	105565.659749	105972.611803	107090.418041	107154.721913	108148.867365	108548.37484	109284.328143	110261.034141	95713.9067001	97681.0139138	99098.1440418	105421.115953	105565.661944	105972.618387	107090.402678	107154.717523	108148.86956	108548.379229	109284.321558	110261.031946	95696.3684824	97369.950326	98387.1625621	105385.005792	105492.761251	105964.537331	107094.331274	107226.340874	108281.315915	108616.793861	109207.419843	110178.575328
2.07	4279.74211659	96706.2019815	97514.7552974	98605.2545019	105538.282484	105567.189487	107343.147467	107361.471404	108392.510542	108464.814264	109334.745855	110221.508955	110720.820323	95772.396689	97822.6277241	99238.0327814	105478.370299	105618.460956	106037.7826	107168.171318	107288.66728	108277.639715	108678.374053	109402.537178	110376.721413	95772.4120522	97822.6079714	99238.0349762	105478.370299	105618.47193	106037.784794	107168.15376	107288.665085	108277.639715	108678.378442	109402.530594	110376.719219	95755.8066017	97512.9599949	98525.3635419	105443.862303	105540.378467	106032.168439	107172.490579	107360.163335	108410.893737	108747.348344	109325.409404	110293.924609
2.06	4435.65250424	96773.4709556	97663.2671953	98743.253565	105587.951787	105614.600397	107381.53358	107500.995816	108527.770561	108599.297343	109458.14766	110348.242385	110843.8578	95832.8400021	97969.7569318	99383.4522818	105535.947274	105673.110139	106103.57012	107254.380953	107428.270702	108412.197416	108814.136669	109526.136511	110497.847267	95832.8553653	97969.7371791	99383.458866	105535.945079	105673.121112	106103.574509	107254.36559	107428.268507	108412.199611	108814.141059	109526.132122	110497.845072	95817.1629293	97661.4433611	98669.1457615	105503.313591	105590.00607	106100.008047	107259.115021	107499.650436	108546.223988	108883.644284	109448.787067	110414.701498
2.05	4597.35043789	96842.3881841	97817.4656808	98887.4023073	105639.717074	105664.188495	107420.80637	107646.404342	108669.004681	108740.175914	109587.159237	110480.344165	110973.415869	95895.3024817	98122.6275958	99534.6110437	105594.20462	105729.578766	106169.528831	107349.683421	107573.751655	108552.762137	108955.873385	109655.34781	110624.628982	95895.3156502	98122.6056484	99534.617628	105594.202425	105729.591935	106169.53322	107349.668058	107573.749461	108552.762137	108955.877775	109655.34342	110624.626787	95880.5120864	97815.6155096	98818.7221113	105563.583519	105641.729656	106167.645738	107354.821323	107645.015068	108687.526145	109025.894571	109577.774502	110541.138638
2.04	4765.10367657	96913.041457	97977.5680339	99037.9092296	105693.668327	105716.039376	107461.121665	107797.916458	108816.434568	108887.597023	109722.00445	110618.022795	111109.727172	95959.8609442	98281.4548013	99691.7285418	105653.471549	105787.882202	106235.294403	107454.576931	107725.334003	108699.555549	109103.803675	109790.392745	110757.294811	95959.8763074	98281.4350486	99691.7351261	105653.469354	105787.89537	106235.296598	107454.559373	107725.331809	108699.555549	109103.81026	109790.388355	110757.290422	95945.9374736	97975.689331	98974.3076765	105624.891562	105695.643599	106234.76547	107460.103303	107796.487678	108835.026264	109174.323069	109712.588988	110673.457697
2.03	4939.1119422	96985.5207588	98143.7937292	99194.980638	105749.893338	105770.247415	107502.633096	107955.764807	108970.299453	109041.73186	109862.909357	110761.495556	111253.037521	96026.6031792	98446.4668019	99855.0286403	105714.05752	105848.070924	106300.616638	107569.449953	107883.250389	108852.812488	109258.160183	109931.506153	110896.075204	96026.6185424	98446.4448544	99855.0330298	105714.05752	105848.079703	106300.621027	107569.434589	107883.248194	108852.812488	109258.164572	109931.501763	110896.073009	96013.5181017	98141.8864946	99136.128516	105687.463779	105751.826909	106301.174103	107575.340652	107954.296522	108988.96138	109329.155836	109853.469753	110811.893515
2.02	5119.60129371	97059.9511901	98316.3863835	99358.8360073	105808.499648	105826.911375	107545.498686	108120.197395	109130.836365	109202.77576	110010.126355	110910.997284	111403.597117	96095.6257556	98617.8896564	100024.746177	105776.256631	105910.239308	106365.396769	107694.581218	108047.74443	109012.772183	109419.184329	110078.929456	111041.215972	96095.6433135	98617.8655142	100024.752761	105776.256631	105910.245892	106365.401159	107694.565855	108047.74004	109012.772183	109419.190913	110078.922872	111041.215972	96083.3571237	98314.4484225	99304.4194675	105751.537203	105810.395909	106366.81677	107700.803324	108118.685214	109149.564136	109490.645269	110000.660414	110956.687513
2.01	5306.82412681	97136.4249302	98495.5808346	99529.7013962	105869.581633	105886.127825	107589.856704	108291.457838	109298.295508	109370.928442	110163.896865	111066.771598	111561.656162	96167.0230474	98795.9582027	100201.126963	105840.316886	105974.49709	106429.641383	107830.137529	108219.061936	109179.682639	109587.130705	110232.910662	111192.962926	96167.0384107	98795.93845	100201.131353	105840.316886	105974.505869	106429.647967	107830.122166	108219.059742	109179.684834	109587.13729	110232.906273	111192.962926	96155.5379401	98493.6121472	99479.4197585	105817.333502	105871.440583	106431.74395	107836.655925	108289.903957	109317.091315	109659.034984	110154.404587	111108.083307
2.0	5500.97138453	97214.7268939	98681.6272837	99707.7896953	105933.253418	105948.008697	107635.729096	108469.809506	109472.942445	109546.422551	110324.493036	111229.081865	111727.480218	96240.8916237	98980.9336156	100384.423395	105906.475318	106040.986929	106493.484358	107976.208869	108397.468474	109353.805032	109762.264876	110393.717529	111351.577241	96240.9069869	98980.9116682	100384.42998	105906.475318	106040.993513	106493.490942	107976.193506	108397.464084	109353.805032	109762.27146	110393.710944	111351.575046	96230.1680932	98679.6300646	99661.3817848	105885.072152	105935.075057	106496.133417	107982.986245	108468.211731	109491.8019	109834.599325	110314.972226	111266.348658
1.99	5702.33935755	97295.6428005	98874.7847108	99893.3884161	105999.618156	106012.654949	107683.519697	108655.51577	109655.033961	109729.48634	110492.171653	111398.193652	111901.30632	96317.3258583	99173.0617067	100574.896648	105974.929455	106109.842705	106557.116638	108132.817186	108583.229606	109535.40273	109944.8546	110561.611231	111517.315702	96317.3434163	99173.0397593	100574.901037	105974.929455	106109.851484	106557.121027	108132.799628	108583.225216	109535.404925	109944.858989	110561.606842	111517.315702	96307.3331784	98872.7545705	99850.5601368	105954.955069	106001.402485	106560.204646	108139.818426	108653.876294	109673.959259	110017.599466	110482.624507	111431.73596
1.98	5911.17385748	97378.9575648	99075.3230697	100086.723618	106068.79217	106080.189488	107733.246064	108848.853166	109844.850985	109920.374399	110667.215839	111574.396664	112083.40881	96396.4420729	99372.6124298	100772.81009	106045.876824	106181.218049	106620.841096	108299.995401	108776.615286	109724.750077	110135.172025	110736.870502	111690.463627	96396.4596309	99372.5904824	100772.816674	106045.876824	106181.226828	106620.845486	108299.980038	108776.613092	109724.752272	110135.176415	110736.863918	111690.461433	96387.1539066	99073.2600082	100047.222574	106027.181975	106070.541383	106624.284653	108307.189779	108847.167601	109863.839929	110208.316335	110657.640161	111604.530531
1.97	6127.74264339	97464.7984821	99283.514509	100288.060864	106140.90056	106150.724244	107785.055245	109050.113597	110042.678832	110119.356683	110849.913105	111757.984997	112274.055447	96478.3500048	99579.8645177	100978.451234	106119.493004	106255.270984	106684.954025	108477.745709	108977.921807	109922.134586	110333.511248	110919.787243	111871.306333	96478.3675628	99579.8425702	100978.455624	106119.493004	106255.277568	106684.96061	108477.730346	108977.917417	109922.136781	110333.515638	110919.780659	111871.304138	96469.7356256	99281.420721	100251.645634	106101.941618	106142.614657	106688.691678	108485.104693	109048.381942	110061.733619	110407.037444	110840.31109	111785.015493
