 R=[100.0, 28.0, 11.0, 9.6, 8.79]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  21   2   -529.46905545      0.47808458   104927.44      0.47808814   104928.22     13.0094
  22   2   -529.46890624      0.47823380   104960.19      0.47823735   104960.97     13.0135
  23   2   -529.46464671      0.48249333   105895.04      0.48249688   105895.82     13.1294
  24   2   -529.46440861      0.48273142   105947.30      0.48273497   105948.08     13.1359
  25   2   -529.46346241      0.48367763   106154.97      0.48368118   106155.75     13.1616
 
  26   3   -529.52475092      0.42238912    92703.70      0.42239267    92704.48     11.4939
  27   3   -529.52245742      0.42468262    93207.06      0.42468617    93207.84     11.5563
  28   3   -529.51610105      0.43103899    94602.12      0.43104254    94602.90     11.7293
  29   3   -529.47780921      0.46933082   103006.21      0.46933437   103006.99     12.7712
  30   3   -529.47160471      0.47553532   104367.94      0.47553887   104368.72     12.9401
  31   3   -529.47158472      0.47555531   104372.33      0.47555886   104373.11     12.9406
  32   3   -529.47118554      0.47595449   104459.94      0.47595805   104460.72     12.9515
  33   3   -529.46905545      0.47808459   104927.44      0.47808814   104928.22     13.0094
  34   3   -529.46890625      0.47823379   104960.18      0.47823734   104960.96     13.0135
  35   3   -529.46464672      0.48249331   105895.04      0.48249686   105895.82     13.1294
  36   3   -529.46440860      0.48273143   105947.30      0.48273498   105948.08     13.1359
  37   3   -529.46346241      0.48367763   106154.97      0.48368118   106155.75     13.1616
 
  38   4   -529.52476872      0.42237132    92699.79      0.42237487    92700.57     11.4934
  39   4   -529.52474485      0.42239518    92705.03      0.42239873    92705.81     11.4941
  40   4   -529.51881179      0.42832825    94007.18      0.42833180    94007.96     11.6555
  41   4   -529.47780922      0.46933082   103006.21      0.46933437   103006.99     12.7712
  42   4   -529.47160200      0.47553804   104368.53      0.47554159   104369.31     12.9401
  43   4   -529.47160000      0.47554003   104368.97      0.47554358   104369.75     12.9402
  44   4   -529.47117301      0.47596703   104462.69      0.47597058   104463.47     12.9518
  45   4   -529.46905091      0.47808913   104928.43      0.47809268   104929.21     13.0096
  46   4   -529.46890841      0.47823163   104959.71      0.47823518   104960.49     13.0134
  47   4   -529.46465228      0.48248776   105893.82      0.48249131   105894.60     13.1293
  48   4   -529.46440118      0.48273885   105948.93      0.48274241   105949.71     13.1361
  49   4   -529.46345876      0.48368128   106155.77      0.48368483   106156.55     13.1617

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -527.04425409     -0.00000354       -0.78      0.00000000        0.00      0.0000
   2   1   -526.62169390      0.42255665    92740.47      0.42256019    92741.24     11.4984
   3   1   -526.61941335      0.42483720    93240.99      0.42484074    93241.76     11.5605
   4   1   -526.61308149      0.43116906    94630.67      0.43117260    94631.45     11.7328
   5   1   -526.56850330      0.47574724   104414.45      0.47575078   104415.23     12.9458
   6   1   -526.56810910      0.47614145   104500.97      0.47614498   104501.74     12.9566
   7   1   -526.56810035      0.47615020   104502.89      0.47615374   104503.67     12.9568
   8   1   -526.56581873      0.47843181   105003.65      0.47843535   105004.42     13.0189
   9   1   -526.56581130      0.47843925   105005.28      0.47844279   105006.05     13.0191
  10   1   -526.56169413      0.48255642   105908.89      0.48255996   105909.67     13.1311
  11   1   -526.56132369      0.48292685   105990.19      0.48293039   105990.97     13.1412
  12   1   -526.56131848      0.48293207   105991.34      0.48293561   105992.11     13.1413
  13   1   -526.54954227      0.49470827   108575.92      0.49471181   108576.69     13.4618
 
  14   2   -526.62167581      0.42257473    92744.43      0.42257827    92745.21     11.4989
  15   2   -526.61938395      0.42486660    93247.44      0.42487014    93248.22     11.5613
  16   2   -526.61303128      0.43121927    94641.69      0.43122280    94642.47     11.7342
  17   2   -526.57473139      0.46951916   103047.54      0.46952270   103048.32     12.7764
  18   2   -526.56849560      0.47575494   104416.14      0.47575848   104416.92     12.9460
  19   2   -526.56847587      0.47577467   104420.47      0.47577821   104421.25     12.9466
  20   2   -526.56807690      0.47617365   104508.04      0.47617719   104508.81     12.9574
  21   2   -526.56594782      0.47830273   104975.32      0.47830627   104976.09     13.0154
  22   2   -526.56579954      0.47845101   105007.86      0.47845455   105008.63     13.0194
  23   2   -526.56154122      0.48270933   105942.45      0.48271287   105943.23     13.1353
  24   2   -526.56130418      0.48294637   105994.48      0.48294991   105995.25     13.1417
  25   2   -526.56035964      0.48389091   106201.78      0.48389444   106202.55     13.1674
 
  26   3   -526.62167585      0.42257470    92744.43      0.42257824    92745.20     11.4989
  27   3   -526.61938390      0.42486665    93247.45      0.42487018    93248.23     11.5613
  28   3   -526.61303130      0.43121925    94641.69      0.43122279    94642.46     11.7342
  29   3   -526.57473139      0.46951916   103047.54      0.46952270   103048.32     12.7764
  30   3   -526.56849562      0.47575492   104416.14      0.47575846   104416.91     12.9460
  31   3   -526.56847588      0.47577466   104420.47      0.47577820   104421.25     12.9466
  32   3   -526.56807687      0.47617368   104508.04      0.47617722   104508.82     12.9574
  33   3   -526.56594781      0.47830273   104975.32      0.47830627   104976.09     13.0154
  34   3   -526.56579955      0.47845100   105007.86      0.47845454   105008.63     13.0194
  35   3   -526.56154123      0.48270931   105942.45      0.48271285   105943.23     13.1353
  36   3   -526.56130417      0.48294638   105994.48      0.48294991   105995.25     13.1417
  37   3   -526.56035964      0.48389091   106201.78      0.48389445   106202.55     13.1674
 
  38   4   -526.62169390      0.42255665    92740.47      0.42256019    92741.24     11.4984
  39   4   -526.62166970      0.42258084    92745.77      0.42258438    92746.55     11.4991
  40   4   -526.61574011      0.42851044    94047.17      0.42851398    94047.95     11.6605
  41   4   -526.57473140      0.46951915   103047.54      0.46952269   103048.32     12.7764
  42   4   -526.56849311      0.47575744   104416.69      0.47576098   104417.46     12.9461
  43   4   -526.56849081      0.47575973   104417.19      0.47576327   104417.97     12.9462
  44   4   -526.56806439      0.47618616   104510.78      0.47618969   104511.56     12.9578
  45   4   -526.56594290      0.47830765   104976.39      0.47831119   104977.17     13.0155
  46   4   -526.56580195      0.47844860   105007.33      0.47845214   105008.11     13.0193
  47   4   -526.56154686      0.48270369   105941.21      0.48270723   105941.99     13.1351
  48   4   -526.56129666      0.48295389   105996.13      0.48295743   105996.90     13.1419
  49   4   -526.56035593      0.48389462   106202.59      0.48389816   106203.37     13.1675

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.94714371     -0.00000355       -0.78      0.00000000        0.00      0.0000
   2   1   -529.52476831      0.42237185    92699.91      0.42237540    92700.68     11.4934
   3   1   -529.52248607      0.42465409    93200.80      0.42465764    93201.58     11.5555
   4   1   -529.51615024      0.43098993    94591.35      0.43099348    94592.13     11.7279
   5   1   -529.47161201      0.47552815   104366.37      0.47553170   104367.15     12.9399
   6   1   -529.47121703      0.47592313   104453.05      0.47592668   104453.83     12.9506
   7   1   -529.47120848      0.47593168   104454.93      0.47593523   104455.71     12.9509
   8   1   -529.46892444      0.47821572   104956.22      0.47821927   104957.00     13.0130
   9   1   -529.46891769      0.47822247   104957.70      0.47822602   104958.48     13.0132
  10   1   -529.46479744      0.48234272   105861.99      0.48234628   105862.77     13.1253
  11   1   -529.46442732      0.48271284   105943.22      0.48271640   105944.00     13.1354
  12   1   -529.46442268      0.48271748   105944.24      0.48272103   105945.02     13.1355
  13   1   -529.45262045      0.49451971   108534.53      0.49452327   108535.31     13.4567
 
  14   2   -529.52475055      0.42238961    92703.80      0.42239316    92704.58     11.4939
  15   2   -529.52245713      0.42468303    93207.15      0.42468658    93207.93     11.5563
  16   2   -529.51610064      0.43103952    94602.24      0.43104307    94603.02     11.7293
  17   2   -529.47780943      0.46933073   103006.19      0.46933429   103006.97     12.7712
  18   2   -529.47160440      0.47553577   104368.04      0.47553932   104368.82     12.9401
  19   2   -529.47158464      0.47555552   104372.37      0.47555908   104373.15     12.9406
  20   2   -529.47118529      0.47595487   104460.02      0.47595842   104460.80     12.9515
