R	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1
2.8	93802.6535849	94302.201985	95677.2171262	103366.956322	104365.278376	104498.740899	104830.173927	105734.780315	105886.634811	106504.260563	106943.205433	108055.182425
2.77	93838.9020148	94337.8907546	95715.5549545	103376.367394	104373.783018	104497.95518	104827.68289	105737.462295	105891.566406	106506.78891	106957.161825	108067.98438
2.74	93877.0884057	94375.8423076	95756.6076841	103388.076365	104384.873071	104498.387545	104826.201436	105741.915435	105898.203319	106508.592992	106971.99831	108081.282348
2.71	93917.3971162	94416.4078035	95800.7330585	103402.469512	104398.963343	104500.24869	104825.927093	105748.49309	105906.89232	106509.813271	106988.059463	108095.40554
2.67	93974.763395	94475.281873	95865.074241	103426.585384	104423.2526	104505.358059	104827.818964	105761.284071	105922.352113	106510.864554	107012.109493	108116.20954
2.64	94020.7564985	94523.6870026	95918.0927274	103449.015691	104446.301826	104511.542854	104831.262521	105774.538144	105937.423436	106511.562483	107032.757666	108133.903585
2.61	94069.5062033	94576.4070035	95975.814555	103475.774038	104474.175104	104519.977264	104836.72744	105791.536454	105955.995379	106512.521588	107056.261204	108153.992098
2.58	94121.2056471	94634.1617524	96038.8871742	103507.499096	104507.568169	104531.034396	104844.529763	105812.954983	105978.579318	106514.1874	107083.285116	108177.122529
2.55	94176.0435782	94697.8072003	96108.0546039	103544.899767	104546.810232	104545.521916	104855.02065	105839.566282	106005.695409	106517.134944	107114.582198	108204.043287
2.52	94234.1955761	94768.3243989	96184.1574318	103588.755188	104569.460014	104587.14089	104868.573208	105872.263613	106037.817716	106522.132382	107151.006207	108235.605934
2.49	94295.8416102	94846.8590058	96268.1569569	103639.925698	104590.395699	104642.402408	104885.615413	105912.071921	106075.314956	106530.250748	107193.533806	108272.787131
2.47	94338.9727645	94904.2999059	96329.0809195	103678.568596	104606.538058	104684.449357	104899.150414	105943.145139	106103.368203	106538.127693	107225.81194	108301.242017
2.44	94406.8716308	94999.1392831	96428.73557	103744.06202	104634.384999	104756.217561	104923.090707	105997.524368	106149.835372	106555.207208	107281.031757	108350.342881
2.41	94478.8329725	95105.7842005	96539.5263632	103819.554709	104667.005514	104839.66401	104951.940647	106062.572259	106200.731539	106581.276405	107345.623141	108408.382947
2.38	94555.1684435	95225.942171	96662.9742583	103906.163787	104704.891224	104936.353558	104986.380606	106139.972182	106254.252622	106620.527248	107421.122414	108476.933653
2.36	94608.6983058	95314.4804314	96753.1454101	103970.654213	104733.350499	105006.328655	105015.555368	106199.353238	106290.17184	106656.635214	107478.365787	108529.346389
2.33	94693.3101651	95461.3748013	96901.6156078	104078.317492	104781.27059	105052.062778	105138.259244	106301.404551	106342.905009	106729.654423	107575.988102	108619.464867
2.3	94783.6261701	95627.1176524	97067.8105766	104199.959111	104836.097547	105105.926242	105279.434105	106396.955026	106417.895101	106828.966693	107689.618897	108725.324065
2.28	94847.3791607	95749.220168	97189.5970488	104289.188717	104876.880323	105147.097488	105384.944339	106430.949452	106508.432775	106910.993142	107775.41153	108805.820775
2.25	94948.9564089	95951.652593	97390.6709258	104435.4093	104945.119375	105218.139231	105562.227166	106482.295541	106664.810644	107058.699568	107921.083426	108943.422589
2.22	95058.5686234	96179.6779546	97616.3676616	104595.895733	105022.912158	105302.553563	105764.909792	106539.57842	106847.128219	107237.099521	108089.701395	109103.882686
2.2	95136.6489178	96347.3894931	97782.0512545	104709.829403	105080.796397	105367.864823	105915.695447	106583.666484	106984.679554	107373.935368	108216.415072	109225.13803
2.18	95219.1757681	96528.7984433	97961.0898787	104827.994544	105144.152138	105441.832163	106080.224604	106634.591182	107136.292628	107525.919355	108355.774878	109359.043891
2.15	95352.1949519	96828.9080524	98257.1304281	105009.291562	105251.071399	105571.945503	106357.453982	106724.918161	107394.702058	107783.968846	108590.98145	109585.958711
2.13	95447.6773897	97049.328618	98474.563944	105129.827029	105330.905296	105673.165007	106559.100688	106807.995892	107584.633208	107978.245593	108767.002298	109756.775815
2.11	95549.1800165	97287.5024865	98709.5685988	105248.108491	105418.796106	105785.931072	106781.048797	106904.779815	107795.157662	108191.04161	108959.968782	109944.441987
2.09	95657.2317664	97544.7816215	98963.5600039	105363.844048	105514.750414	105908.593248	107020.478061	107026.228296	108025.674061	108423.945893	109171.303098	110150.565976
2.08	95713.8891421	97681.0402508	99098.1374575	105421.113758	105565.659749	105972.611803	107090.418041	107154.721913	108148.867365	108548.37484	109284.328143	110261.034141
2.07	95772.396689	97822.6277241	99238.0327814	105478.370299	105618.460956	106037.7826	107168.171318	107288.66728	108277.639715	108678.374053	109402.537178	110376.721413
2.06	95832.8400021	97969.7569318	99383.4522818	105535.947274	105673.110139	106103.57012	107254.380953	107428.270702	108412.197416	108814.136669	109526.136511	110497.847267
2.05	95895.3024817	98122.6275958	99534.6110437	105594.20462	105729.578766	106169.528831	107349.683421	107573.751655	108552.762137	108955.873385	109655.34781	110624.628982
2.04	95959.8609442	98281.4548013	99691.7285418	105653.471549	105787.882202	106235.294403	107454.576931	107725.334003	108699.555549	109103.803675	109790.392745	110757.294811
2.03	96026.6031792	98446.4668019	99855.0286403	105714.05752	105848.070924	106300.616638	107569.449953	107883.250389	108852.812488	109258.160183	109931.506153	110896.075204
2.02	96095.6257556	98617.8896564	100024.746177	105776.256631	105910.239308	106365.396769	107694.581218	108047.74443	109012.772183	109419.184329	110078.929456	111041.215972
2.01	96167.0230474	98795.9582027	100201.126963	105840.316886	105974.49709	106429.641383	107830.137529	108219.061936	109179.682639	109587.130705	110232.910662	111192.962926
2.0	96240.8916237	98980.9336156	100384.423395	105906.475318	106040.986929	106493.484358	107976.208869	108397.468474	109353.805032	109762.264876	110393.717529	111351.577241
1.99	96317.3258583	99173.0617067	100574.896648	105974.929455	106109.842705	106557.116638	108132.817186	108583.229606	109535.40273	109944.8546	110561.611231	111517.315702
1.98	96396.4420729	99372.6124298	100772.81009	106045.876824	106181.218049	106620.841096	108299.995401	108776.615286	109724.750077	110135.172025	110736.870502	111690.463627
1.97	96478.3500048	99579.8645177	100978.451234	106119.493004	106255.270984	106684.954025	108477.745709	108977.921807	109922.134586	110333.511248	110919.787243	111871.306333
