R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1
3.56	135.547531525	93166.7082865	93694.2726231	95137.3446523	104465.102022	104648.0868	104829.515503	105426.111195	105804.465705	106325.636745	106460.407337	107225.1184	109171.564273
3.52	141.697210671	93186.4083293	93714.681569	95159.3140628	104461.324864	104645.222657	104827.384405	105431.91191	105807.044532	106337.431312	106487.167878	107254.168062	109175.211941
3.47	149.925314564	93212.1439244	93741.2204412	95187.6372638	104456.147458	104640.978017	104823.967185	105438.351295	105808.914455	106352.004427	106520.71677	107289.674668	109178.28678
3.42	158.85793198	93239.1941725	93768.9817872	95216.9766323	104450.524518	104636.039838	104819.702793	105443.901809	105809.419247	106366.351484	106554.096667	107324.110238	109179.579486
3.38	166.581244223	93261.8483439	93792.1188027	95241.1890735	104445.737776	104631.602061	104815.677628	105447.711888	105808.912261	106377.621506	106580.486296	107350.765431	109179.245885
3.33	177.133584446	93291.5213138	93822.2592536	95272.3764184	104439.443243	104625.456771	104809.874719	105451.715106	105807.237669	106391.380371	106612.836857	107382.806533	109176.796548
3.29	186.36029785	93316.4207106	93847.4176304	95298.1054293	104434.215358	104620.086227	104804.624886	105454.355385	105805.146076	106402.097317	106638.047907	107407.332822	109173.456144
3.25	196.429793903	93342.4350385	93873.5658379	95324.536759	104428.886514	104614.342576	104798.848313	105456.550132	105802.464096	106412.528946	106662.539081	107430.79905	109168.689155
3.21	207.482536255	93369.6608664	93900.771913	95351.6901602	104423.531333	104608.267518	104792.571339	105458.369576	105799.281714	106422.659895	106686.205031	107453.143762	109162.451686
3.17	219.667767723	93398.2079315	93929.1258404	95379.5963594	104418.252968	104601.915923	104785.826883	105459.905899	105795.695498	106432.490164	106708.968939	107474.336232	109154.715205
3.13	233.185210203	93428.1969449	93958.724189	95408.294862	104413.169935	104595.355826	104778.652258	105461.268836	105791.815187	106442.028531	106730.76716	107494.358903	109145.455571
3.09	248.263117244	93459.7969022	93989.6986436	95437.838342	104408.435868	104588.683797	104771.11111	105462.612021	105787.790022	106451.310113	106751.584328	107513.235916	109134.681561
3.05	265.167053282	93493.1855776	94022.1852783	95468.2948364	104404.230734	104582.013963	104763.28245	105464.108838	105783.780221	106460.381	106771.424835	107531.024335	109122.419513
3.01	284.199893198	93528.5868354	94056.3618677	95499.7389666	104400.776203	104575.493372	104755.258457	105465.980957	105779.98331	106469.322396	106790.343548	107547.822923	109108.719907
2.98	300.105219602	93556.6225246	94083.2365361	95524.0523661	104398.836047	104570.809783	104749.183399	105467.793817	105777.422041	106476.003204	106803.992675	107559.86769	109097.559622
2.94	323.830427137	93596.2113584	94120.9005774	95557.5376104	104397.354594	104565.006874	104741.111122	105471.006926	105774.606181	106484.979716	106821.581372	107575.338457	109081.592843
2.91	343.760918279	93627.7871735	94150.7030374	95583.5497436	104397.264609	104561.139731	104735.180918	105474.215645	105773.129117	106491.862441	106834.455754	107586.669932	109068.900625
2.87	373.600688966	93672.7311882	94192.714871	95619.4140929	104398.827268	104556.886313	104727.58929	105479.921985	105772.32145	106501.403003	106851.429922	107601.712723	109051.368991
2.84	398.860024135	93708.8435438	94226.2264523	95647.6056091	104401.500469	104554.590608	104722.256057	105485.553704	105772.8438	106508.961709	106864.216514	107613.153936	109037.669385
2.8	436.910340731	93760.6768672	94273.8919525	95686.9881367	104407.457011	104553.124518	104715.847398	105495.357636	105775.481885	106519.819119	106881.730589	107629.087794	109019.130363
2.77	469.195058815	93802.6887009	94312.1617437	95718.067939	104413.990771	104553.556883	104711.730054	105504.810408	105779.267822	106528.727594	106895.526764	107641.902918	109005.27054
2.74	505.188898119	93847.7556214	94352.8720928	95750.6752848	104422.526139	104555.677007	104708.367702	105516.449148	105784.95441	106538.470073	106910.218396	107655.804441	108991.555571
2.71	545.247407626	93896.2660988	94396.3061221	95785.0472067	104433.229917	104559.926036	104705.92495	105530.671104	105792.91256	106549.246277	106926.152254	107671.226923	108978.571451
2.67	605.978232464	93967.064225	94459.0758662	95834.2468344	104451.055646	104569.953832	104704.430327	105554.435817	105807.812693	106565.579579	106950.046457	107694.912625	108962.75172
2.64	657.730350227	94025.4071659	94510.1629759	95873.8312787	104467.039983	104581.82302	104704.904393	105576.545691	105822.8489	106579.606203	106970.582698	107715.71882	108952.543955
2.61	715.577278435	94088.8902026	94565.1655129	95916.2579194	104485.034708	104598.658919	104707.011349	105602.98141	105841.855403	106595.443492	106993.980889	107739.808355	108944.298293
2.58	780.252062409	94158.1783433	94624.5158424	95961.9832639	104504.695246	104621.784961	104711.016761	105634.42554	105865.49721	106613.367985	107020.899452	107767.903303	108938.607316
2.55	852.584316209	94234.0243859	94688.6836399	96011.5669722	104525.76481	104652.607978	104717.219114	105671.641853	105894.566625	106633.678168	107052.084602	107800.815718	108936.173342
2.52	933.539728252	94317.2776973	94758.1649183	96065.6652738	104548.293881	104692.337275	104725.958594	105715.477521	105929.967882	106656.736172	107088.394485	107839.471785	108937.828181
2.49	1024.07740261	94408.9061606	94833.4820271	96125.0726667	104572.686291	104741.95171	104737.595139	105766.887259	105972.730319	106682.897548	107130.783815	107884.914007	108944.555078
2.47	1090.38507783	94475.1743304	94887.1940533	96168.0896941	104590.307909	104752.857405	104775.270154	105805.870342	106005.906104	106702.257405	107162.963185	107919.551493	108952.414465
2.44	1199.65930136	94583.2326645	94973.3971037	96238.5564136	104619.322455	104770.244185	104843.410442	105872.237276	106063.647685	106734.500423	107218.011812	107978.985223	108970.238
